aX,aY,aZ,gX,gY,gZ
-0.318,0.497,0.314,-19.531,123.474,-61.829
-0.336,0.469,0.357,-16.357,114.746,-50.598
-0.288,0.508,0.422,-17.273,104.858,-39.673
-0.170,0.559,0.493,-21.790,96.985,-31.921
-0.141,0.556,0.552,-23.254,83.801,-18.860
-0.169,0.568,0.577,-26.001,73.425,-5.859
-0.181,0.605,0.569,-30.151,71.045,1.709
-0.173,0.610,0.523,-32.471,75.806,4.028
-0.228,0.572,0.451,-35.034,85.449,3.296
-0.314,0.556,0.382,-34.973,96.497,0.488
-0.375,0.557,0.348,-29.602,104.553,-2.808
-0.418,0.572,0.356,-23.621,107.300,-3.601
-0.476,0.604,0.393,-21.118,105.957,-1.892
-0.589,0.641,0.385,-21.912,103.027,1.831
-0.668,0.670,0.371,-23.621,99.609,5.005
-0.698,0.689,0.345,-24.475,93.262,7.080
-0.724,0.700,0.317,-23.315,82.825,11.230
-0.754,0.698,0.306,-22.095,70.313,17.822
-0.819,0.705,0.311,-22.156,57.373,25.391
-0.909,0.716,0.317,-22.949,47.241,29.907
-0.965,0.729,0.329,-22.766,41.016,29.480
-0.997,0.746,0.351,-22.644,36.865,27.100
-1.034,0.769,0.368,-23.010,34.851,23.804
-1.047,0.786,0.370,-23.804,37.354,17.639
-1.034,0.775,0.349,-24.048,44.189,9.216
-1.014,0.758,0.317,-24.414,52.063,0.366
-0.994,0.741,0.282,-24.170,58.777,-7.385
-0.979,0.732,0.254,-21.851,62.317,-13.306
-0.985,0.716,0.248,-17.944,59.265,-15.686
-0.972,0.735,0.276,-13.672,51.575,-16.357
-0.961,0.757,0.333,-10.132,40.588,-13.245
-0.946,0.779,0.385,-10.498,29.541,-9.949
-0.901,0.788,0.415,-12.390,21.301,-7.141
-0.839,0.775,0.402,-15.259,16.785,-4.333
-0.750,0.742,0.360,-17.334,15.686,-3.479
-0.666,0.704,0.311,-17.090,15.442,-4.089
-0.600,0.666,0.271,-14.526,14.343,-4.333
-0.550,0.649,0.244,-10.620,11.658,-4.578
-0.492,0.643,0.242,-5.737,8.057,-5.066
-0.453,0.642,0.257,-1.282,4.089,-4.395
-0.433,0.651,0.282,2.869,-0.366,-2.625
-0.430,0.677,0.323,6.104,-4.639,-1.282
-0.425,0.700,0.368,7.996,-8.118,-0.427
-1.064,-0.591,0.929,103.027,-6.348,29.175
-1.111,-0.548,0.896,103.821,-6.042,20.813
-1.133,-0.509,0.831,104.309,-8.484,12.329
-1.140,-0.487,0.759,105.286,-12.207,4.028
-1.166,-0.459,0.695,106.628,-17.151,-4.944
-1.167,-0.384,0.649,110.046,-21.362,-15.991
-1.115,-0.307,0.599,115.967,-23.560,-27.222
-1.031,-0.226,0.554,120.789,-24.902,-35.156
-0.912,-0.137,0.533,126.404,-26.184,-39.429
-0.819,-0.011,0.517,131.958,-28.870,-39.307
-0.696,0.142,0.521,138.672,-32.715,-36.316
-0.548,0.316,0.577,144.531,-39.001,-29.297
-0.484,0.530,0.652,144.836,-47.852,-13.123
-0.577,0.695,0.716,139.404,-51.758,8.118
-0.838,0.791,0.737,130.676,-47.546,21.118
-1.044,0.938,0.747,125.305,-38.940,11.047
-1.068,1.164,0.865,133.301,-33.813,-14.648
-1.007,1.400,1.046,140.930,-33.813,-35.156
-0.955,1.638,1.242,140.259,-35.706,-41.321
-0.932,1.843,1.417,127.930,-35.095,-38.879
-0.871,2.023,1.551,111.816,-30.273,-36.987
-0.881,2.178,1.664,97.351,-25.452,-38.940
-0.889,2.368,1.813,85.388,-21.484,-43.518
-0.974,2.494,1.843,62.683,-24.170,-33.875
-0.978,2.535,1.793,33.203,-26.917,-34.241
-0.920,2.506,1.675,12.268,-23.743,-41.809
-0.823,2.385,1.487,-10.010,-15.991,-47.791
-0.667,2.303,1.311,-33.875,-7.996,-53.650
-0.542,2.132,1.177,-52.612,-1.404,-54.810
-0.372,2.033,1.040,-74.585,4.700,-51.025
-0.213,1.883,0.969,-93.079,10.986,-46.448
-0.083,1.721,0.901,-107.422,16.541,-35.767
0.006,1.556,0.836,-122.437,20.081,-22.339
0.095,1.394,0.784,-137.512,21.606,-7.080
0.176,1.227,0.718,-152.283,23.315,9.033
0.232,1.046,0.642,-164.734,27.161,23.926
0.284,0.864,0.554,-174.377,35.583,36.438
0.332,0.697,0.473,-180.847,48.340,48.157
0.342,0.529,0.401,-185.303,63.843,59.631
0.318,0.363,0.320,-187.988,80.078,69.336
0.260,0.199,0.237,-187.927,97.717,77.271
0.165,0.036,0.148,-183.167,117.432,85.388
0.002,-0.123,0.073,-172.913,135.864,92.957
-0.212,-0.287,-0.014,-160.034,149.841,99.854
-0.423,-0.399,-0.101,-143.921,154.297,108.826
-0.634,-0.486,-0.124,-125.305,145.386,119.263
-0.829,-0.558,-0.140,-108.337,127.319,130.005
-0.883,-0.554,-0.070,-102.478,112.427,140.625
-1.001,-0.595,0.025,-101.929,101.685,148.865
-1.216,-0.635,0.050,-96.252,98.938,149.414
-1.506,-0.704,0.021,-88.867,104.126,141.052
-1.785,-0.791,-0.057,-78.491,115.173,126.831
-2.001,-0.876,-0.124,-63.843,122.192,112.732
-2.173,-0.949,-0.143,-44.250,115.967,102.234
-2.299,-1.000,-0.096,-23.254,94.116,95.581
-2.465,-1.004,-0.001,-5.127,59.814,93.262
-2.680,-0.969,0.122,9.644,19.104,93.689
-2.862,-0.935,0.262,20.203,-19.897,93.628
-2.996,-0.903,0.384,26.062,-53.528,89.355
-3.159,-0.881,0.459,27.161,-80.322,79.529
-3.399,-0.908,0.483,25.452,-97.595,62.317
-3.582,-0.855,0.453,24.902,-101.257,30.884
-3.680,-0.900,0.391,35.828,-99.487,-12.207
-3.631,-0.902,0.366,52.063,-98.938,-56.641
-3.457,-0.874,0.362,61.279,-104.492,-86.975
-3.277,-0.933,0.353,70.068,-115.295,-117.493
-2.998,-0.925,0.408,86.609,-118.958,-160.522
-2.683,-0.865,0.488,103.210,-126.526,-192.810
-2.409,-0.798,0.595,106.445,-136.902,-213.257
-2.140,-0.752,0.737,106.201,-145.569,-230.530
-1.766,-0.724,0.854,105.652,-145.569,-251.648
-1.336,-0.706,0.965,105.042,-136.047,-279.968
-0.682,-0.610,1.011,102.234,-114.258,-309.387
0.070,-0.579,0.997,101.624,-92.712,-322.937
0.780,-0.504,0.865,108.643,-89.966,-305.420
1.403,-0.358,0.772,114.441,-108.459,-262.634
1.920,-0.152,0.786,117.371,-135.620,-206.543
2.173,0.140,0.929,125.427,-164.246,-142.700
2.063,0.466,1.196,131.348,-183.167,-84.229
1.755,0.819,1.498,131.348,-178.528,-46.082
1.467,1.110,1.722,127.808,-147.095,-31.067
1.249,1.262,1.811,121.277,-100.708,-35.645
1.053,1.247,1.736,110.229,-53.955,-48.096
0.950,1.168,1.536,99.609,-15.930,-61.218
0.874,1.080,1.349,82.520,7.812,-62.927
0.777,1.026,1.172,59.692,13.062,-49.133
0.633,0.937,1.010,43.274,7.507,-28.992
0.453,0.852,0.844,29.297,3.967,-10.498
0.274,0.791,0.709,18.066,8.301,0.366
0.122,0.735,0.622,13.672,18.311,4.272
-0.032,0.675,0.587,11.902,30.273,1.587
-0.173,0.656,0.581,9.949,43.152,-4.395
-0.303,0.647,0.575,6.042,54.565,-8.606
-0.405,0.640,0.581,0.305,59.998,-8.484
-0.488,0.640,0.591,-6.042,58.533,-5.127
-0.543,0.630,0.591,-10.498,53.406,-1.953
-0.615,0.592,0.625,-17.761,51.086,-1.038
-0.505,0.622,0.616,-30.518,60.852,-6.836
-0.358,0.573,0.604,-36.987,72.632,-14.832
-0.208,0.519,0.573,-39.612,82.886,-17.517
-0.056,0.512,0.535,-39.856,87.524,-16.663
0.096,0.510,0.519,-41.687,87.646,-8.240
0.127,0.478,0.503,-44.983,83.191,7.385
0.032,0.443,0.443,-47.668,78.735,22.034
-0.107,0.462,0.402,-43.274,76.538,26.978
-0.239,0.506,0.392,-36.560,74.890,25.635
-0.351,0.524,0.392,-32.288,74.341,24.536
-0.458,0.546,0.397,-32.715,74.463,26.062
-0.581,0.586,0.387,-35.645,75.806,26.245
-0.705,0.613,0.352,-37.231,80.750,22.034
-0.809,0.632,0.292,-36.865,87.708,14.465
-0.888,0.644,0.229,-34.424,91.858,6.775
-0.940,0.661,0.182,-30.823,89.661,0.671
-0.990,0.685,0.162,-28.015,82.520,-0.488
-1.051,0.714,0.148,-26.978,73.364,4.395
-1.117,0.735,0.137,-27.161,65.308,9.277
-1.156,0.724,0.125,-28.687,60.486,9.399
-1.166,0.723,0.129,-25.879,56.702,5.615
-1.154,0.739,0.166,-19.226,52.979,1.709
-0.353,1.492,0.756,-22.217,-26.306,40.222
-0.312,1.546,0.801,-29.053,-23.560,43.274
-0.288,1.582,0.829,-36.011,-22.339,47.913
-0.317,1.585,0.828,-44.739,-23.010,55.298
-0.380,1.558,0.791,-55.359,-24.048,63.049
-0.427,1.491,0.725,-65.430,-23.437,68.115
-0.458,1.393,0.642,-71.716,-20.874,70.313
-0.490,1.273,0.541,-76.660,-17.944,71.472
-0.539,1.143,0.428,-80.933,-15.686,73.303
-0.603,1.006,0.310,-84.167,-14.587,75.073
-0.653,0.858,0.218,-85.999,-13.611,75.745
-0.697,0.724,0.119,-86.487,-10.925,74.829
-0.745,0.623,0.007,-87.402,-6.592,71.472
-0.785,0.531,-0.119,-88.867,-0.793,65.063
-0.801,0.420,-0.259,-89.539,6.531,57.800
-0.808,0.298,-0.400,-87.585,12.939,52.734
-0.828,0.168,-0.532,-79.712,14.587,51.575
-0.843,0.042,-0.624,-66.895,10.742,54.199
-0.847,-0.041,-0.657,-51.941,2.319,58.716
-0.844,-0.104,-0.646,-33.997,-10.315,64.087
-0.830,-0.166,-0.583,-16.479,-24.658,69.702
-0.829,-0.218,-0.464,-2.502,-37.048,75.134
-0.826,-0.246,-0.301,8.179,-43.579,78.613
-0.838,-0.260,-0.138,14.343,-42.603,76.477
-0.837,-0.281,0.009,19.348,-35.583,68.420
-0.813,-0.310,0.120,21.362,-25.024,57.373
-0.756,-0.366,0.209,20.752,-13.306,44.678
-0.668,-0.454,0.256,20.508,-2.075,33.691
-0.572,-0.581,0.270,22.095,5.676,27.466
-0.445,-0.707,0.292,26.245,7.446,27.283
-0.324,-0.807,0.314,32.349,1.892,33.813
-0.217,-0.902,0.325,40.222,-6.470,44.312
-0.173,-0.990,0.347,49.988,-15.625,56.946
-0.257,-1.074,0.365,61.646,-24.109,68.848
-0.421,-1.118,0.403,75.989,-30.396,74.524
