aX,aY,aZ,gX,gY,gZ
-0.272,0.834,0.521,2.014,0.732,0.366
-0.257,0.832,0.512,1.099,2.075,0.122
-0.269,0.820,0.500,0.305,3.479,-0.244
-0.273,0.800,0.481,-0.244,4.883,-1.099
-0.263,0.785,0.463,-0.183,5.371,-2.136
-0.250,0.778,0.452,0.793,4.211,-2.319
-0.232,0.783,0.455,1.953,1.831,-1.526
-0.216,0.798,0.461,2.319,0.183,0.549
-0.221,0.806,0.469,2.197,-0.610,3.601
-0.240,0.809,0.475,1.526,-1.526,6.348
-0.261,0.815,0.480,0.732,-1.892,7.874
-0.269,0.828,0.490,0.854,-1.831,8.118
-0.274,0.832,0.490,0.000,-0.244,7.446
-0.286,0.820,0.489,-1.038,1.587,6.104
-0.307,0.816,0.487,-1.404,3.357,4.517
-0.321,0.809,0.478,-1.709,4.761,2.563
-0.314,0.802,0.468,-1.770,5.249,0.366
-0.297,0.802,0.468,-0.854,3.784,-0.610
-0.285,0.808,0.466,-0.854,1.709,-0.366
-0.282,0.806,0.466,-1.648,1.465,-0.122
-0.271,0.800,0.454,-1.221,3.174,0.000
-0.256,0.804,0.445,0.122,5.127,0.366
-0.238,0.811,0.454,1.221,5.554,1.404
-0.234,0.821,0.477,1.648,5.493,2.747
-0.255,0.819,0.501,1.648,6.897,3.601
-0.246,0.841,0.526,2.197,8.850,2.563
-0.892,-0.932,1.194,149.353,70.129,308.594
-1.032,-0.898,1.375,146.423,73.120,310.059
-1.123,-0.847,1.522,136.414,81.604,304.504
-1.224,-0.832,1.601,121.460,99.121,295.715
-1.294,-0.879,1.594,103.088,124.451,285.706
-1.387,-1.026,1.473,83.923,152.527,276.978
-1.767,-1.238,1.196,70.496,172.668,270.081
-2.239,-1.301,1.023,75.623,161.194,254.333
-2.565,-1.290,1.014,96.497,121.460,223.389
-2.567,-1.165,1.063,120.361,72.083,187.500
-2.514,-1.218,1.124,142.578,11.597,163.391
-2.673,-1.120,1.388,159.241,-72.083,152.710
-2.835,-1.016,1.508,154.907,-118.958,147.278
-2.999,-0.898,1.540,145.020,-148.621,128.113
-3.118,-0.855,1.521,130.432,-165.405,88.989
-3.199,-0.853,1.427,112.671,-164.246,31.250
-3.167,-0.862,1.319,102.051,-144.775,-37.842
-3.050,-0.875,1.281,95.398,-116.089,-109.131
-2.801,-0.869,1.285,87.341,-80.811,-179.382
-2.575,-0.850,1.293,74.768,-49.255,-246.338
-2.460,-0.813,1.305,61.157,-27.710,-307.007
-2.292,-0.769,1.360,48.462,-15.503,-363.770
-2.014,-0.751,1.478,33.508,-11.230,-415.222
-1.709,-0.645,1.558,11.475,-13.550,-457.886
-1.330,-0.600,1.611,-14.343,-16.907,-491.943
-0.937,-0.539,1.558,-39.185,-23.499,-515.808
-0.581,-0.537,1.422,-61.096,-31.372,-527.100
-0.234,-0.525,1.244,-75.073,-44.006,-528.748
0.159,-0.497,1.050,-77.148,-64.087,-517.151
0.551,-0.452,0.823,-69.214,-96.375,-485.840
0.876,-0.312,0.626,-57.556,-142.639,-433.655
1.010,-0.105,0.525,-47.119,-197.388,-372.864
0.981,0.082,0.523,-36.316,-244.080,-314.697
0.875,0.239,0.539,-23.865,-268.433,-267.151
0.799,0.359,0.564,-12.329,-267.273,-234.070
0.718,0.471,0.580,-3.906,-242.798,-217.102
0.674,0.539,0.577,0.305,-198.730,-215.149
0.697,0.613,0.564,1.770,-148.926,-219.604
0.821,0.636,0.502,5.432,-107.056,-224.121
0.990,0.628,0.453,11.230,-82.825,-219.971
1.135,0.674,0.418,11.963,-72.754,-203.369
1.198,0.743,0.400,8.972,-71.777,-173.218
1.167,0.802,0.400,5.737,-70.496,-139.709
1.079,0.823,0.393,5.310,-62.988,-110.779
0.944,0.825,0.388,8.850,-54.199,-86.060
0.717,0.822,0.392,14.221,-49.133,-64.819
0.483,0.831,0.419,19.775,-42.603,-51.941
0.341,0.855,0.429,22.888,-34.546,-44.006
0.255,0.851,0.433,22.217,-29.419,-37.292
0.200,0.854,0.422,19.836,-26.917,-29.724
0.218,0.875,0.409,17.578,-27.466,-20.325
0.209,0.863,0.428,14.648,-28.442,-12.451
0.154,0.889,0.453,11.047,-25.940,-4.456
0.037,0.898,0.437,5.493,-19.836,3.052
-0.057,0.880,0.388,-0.427,-11.780,6.958
-0.102,0.887,0.357,-4.150,-4.700,7.446
-0.149,0.884,0.328,-6.104,2.686,5.859
-0.243,0.826,0.271,-7.507,10.132,3.784
-0.316,0.801,0.230,-6.226,11.230,2.258
-0.345,0.805,0.260,-2.502,3.296,2.075
-0.341,0.839,0.312,-0.427,-6.958,4.883
-0.328,0.864,0.351,-0.488,-13.672,9.399
-0.327,0.879,0.370,-2.502,-14.587,12.390
-0.355,0.891,0.374,-4.456,-11.780,13.733
-0.378,0.878,0.358,-7.080,-7.141,14.160
-0.394,0.854,0.327,-9.705,-2.441,13.855
-0.399,0.834,0.307,-10.315,2.075,12.512
-0.419,0.821,0.295,-9.216,6.653,10.498
-0.428,0.816,0.290,-7.019,11.047,7.446
-0.460,0.782,0.283,-4.517,14.771,3.967
-0.513,0.761,0.263,-1.526,15.686,0.732
-0.516,0.771,0.276,3.296,9.766,-2.014
-0.471,0.786,0.335,6.531,-0.061,-1.831
-0.443,0.829,0.395,5.005,-7.690,1.404
-0.451,0.858,0.427,1.892,-10.071,2.563
-0.445,0.853,0.423,0.183,-7.263,0.061
-0.422,0.834,0.396,-1.892,-3.479,-2.563
-0.391,0.826,0.359,-4.333,0.305,-3.235
-0.377,0.808,0.329,-4.944,4.028,-3.784
-0.364,0.798,0.308,-3.723,7.324,-4.700
-0.354,0.795,0.308,-1.404,7.446,-4.028
-0.395,0.788,0.314,0.488,3.662,-0.671
-0.415,0.803,0.332,2.319,-2.625,2.930
-0.414,0.824,0.367,4.211,-8.240,5.127
-0.407,0.844,0.400,3.235,-10.559,6.592
-0.420,0.854,0.407,0.305,-9.705,6.042
-0.404,0.849,0.384,-0.916,-5.310,2.441
-0.389,0.835,0.374,-1.160,-0.916,-1.465
-0.402,0.834,0.362,-2.136,2.075,-3.174
-0.391,0.832,0.348,-2.380,3.052,-4.089
-0.360,0.833,0.347,-2.197,2.014,-4.150
-0.331,0.832,0.343,-2.625,1.587,-2.686
-0.334,0.828,0.330,-3.113,3.357,-1.770
-0.346,0.819,0.310,-2.258,5.737,-2.625
-0.339,0.814,0.303,-0.977,5.493,-3.418
-0.328,0.817,0.310,0.244,4.089,-2.930
-0.317,0.823,0.317,1.038,3.723,-2.075
-0.317,0.834,0.321,2.014,5.127,-2.319
-0.308,0.837,0.319,2.808,8.057,-2.502
-0.289,0.828,0.318,2.441,10.315,-2.136
-0.281,0.828,0.321,2.197,11.902,-1.099
-0.295,0.836,0.326,2.502,13.489,-0.122
-0.319,0.838,0.334,2.747,14.709,0.244
-0.326,0.840,0.347,2.441,14.465,0.488
-0.323,0.854,0.368,2.197,13.489,1.221
-0.324,0.869,0.381,1.343,13.367,1.404
-0.330,0.876,0.380,0.183,15.198,0.488
-0.337,0.876,0.369,-0.427,18.555,-1.404
-0.339,0.870,0.359,-1.221,22.034,-3.479
-0.325,0.869,0.353,-1.282,23.987,-5.493
-0.293,0.882,0.353,-0.610,24.170,-6.531
-0.263,0.902,0.353,-0.244,23.621,-6.042
-0.259,0.911,0.351,-0.854,23.621,-4.944
-0.262,0.913,0.350,-1.465,24.475,-4.272
-0.250,0.921,0.351,-1.831,25.696,-3.967
-0.233,0.928,0.353,-2.014,27.222,-4.028
-0.224,0.932,0.355,-2.563,29.480,-4.272
-0.213,0.941,0.358,-3.296,32.593,-4.700
-0.200,0.947,0.370,-4.150,36.316,-5.310
-1.013,-0.662,1.436,87.524,144.104,320.007
-1.328,-0.725,1.341,95.215,128.174,323.914
-1.574,-0.740,1.344,110.474,95.825,321.228
-1.741,-0.745,1.378,121.948,61.035,316.711
-1.833,-0.751,1.456,127.014,31.067,309.937
-1.875,-0.750,1.416,127.014,6.287,299.072
-2.180,-0.715,1.564,124.939,-29.114,282.104
-2.364,-0.722,1.542,110.962,-34.668,259.155
-2.485,-0.712,1.516,101.013,-30.212,221.252
-2.559,-0.720,1.491,92.773,-17.883,169.983
-2.638,-0.752,1.417,83.496,-2.747,112.366
-2.690,-0.830,1.291,75.256,7.751,53.528
-2.705,-0.877,1.164,71.167,5.798,-0.854
-2.623,-0.872,1.090,70.313,-4.089,-50.415
-2.490,-0.879,1.089,69.458,-19.165,-94.116
-2.393,-0.904,1.104,65.002,-34.668,-128.723
-2.250,-0.909,1.106,60.303,-43.945,-160.278
-2.082,-0.890,1.104,59.509,-49.377,-189.453
-1.955,-0.877,1.089,57.556,-54.260,-213.684
-1.893,-0.865,1.022,55.847,-58.167,-234.253
-1.823,-0.825,0.953,57.434,-64.697,-254.028
-1.748,-0.759,0.955,60.364,-80.200,-273.437
-1.705,-0.664,1.008,59.814,-102.356,-291.382
-1.631,-0.544,1.128,55.908,-123.901,-312.256
-1.530,-0.402,1.255,47.119,-141.479,-334.106
-1.329,-0.309,1.344,35.767,-141.541,-360.229
-1.096,-0.249,1.380,21.545,-131.226,-387.573
-0.856,-0.237,1.304,2.808,-113.220,-410.095
-0.573,-0.230,1.162,-12.207,-94.788,-427.673
-0.245,-0.207,0.965,-18.921,-85.938,-434.753
0.130,-0.195,0.775,-17.273,-94.482,-425.476
0.464,-0.160,0.602,-11.719,-120.300,-396.851
0.652,-0.037,0.487,-3.723,-160.400,-351.990
0.674,0.155,0.484,4.028,-201.355,-299.805
0.593,0.333,0.513,9.949,-218.384,-256.531
0.560,0.428,0.557,16.541,-204.346,-233.704
0.590,0.507,0.593,25.085,-174.561,-227.234
0.626,0.548,0.618,29.419,-141.541,-225.830
0.656,0.596,0.670,27.344,-112.366,-225.830
0.640,0.659,0.720,18.799,-88.684,-223.694
0.650,0.703,0.690,7.507,-63.416,-219.849
0.753,0.688,0.589,0.549,-41.870,-213.135
0.890,0.683,0.466,-3.357,-33.936,-199.341
0.958,0.674,0.357,-4.944,-39.368,-172.974
0.933,0.682,0.273,-2.869,-52.979,-137.512
0.835,0.698,0.235,2.563,-67.078,-100.281
0.727,0.754,0.212,8.179,-75.623,-68.665
0.603,0.818,0.276,15.137,-77.209,-48.218
