aX,aY,aZ,gX,gY,gZ
0.428,0.668,0.395,63.843,-112.854,-91.492
0.501,0.682,0.401,64.392,-108.154,-85.510
0.549,0.696,0.392,62.866,-101.135,-79.285
0.568,0.696,0.379,60.364,-93.262,-72.693
0.552,0.707,0.367,58.350,-86.914,-65.308
0.524,0.729,0.357,55.420,-82.520,-57.983
0.498,0.752,0.330,50.476,-76.233,-51.758
0.486,0.749,0.270,46.265,-66.284,-47.913
0.454,0.746,0.210,44.312,-56.030,-46.204
0.415,0.757,0.161,44.128,-47.302,-46.082
0.398,0.757,0.117,44.556,-38.940,-46.509
0.385,0.735,0.089,44.678,-32.776,-46.814
0.365,0.722,0.069,45.166,-28.748,-44.006
0.357,0.723,0.061,45.898,-27.100,-38.452
0.345,0.742,0.066,44.983,-29.053,-31.616
0.327,0.756,0.105,41.626,-31.982,-23.376
0.294,0.778,0.152,35.034,-30.640,-14.221
0.247,0.810,0.150,26.672,-24.414,-7.019
0.195,0.821,0.119,20.996,-16.174,-4.211
0.129,0.825,0.090,18.005,-9.033,-4.150
0.060,0.841,0.049,15.625,-4.028,-5.127
0.016,0.849,0.012,14.404,-1.221,-6.836
-0.043,0.829,0.004,13.611,0.671,-8.728
-0.007,0.867,-0.029,10.620,7.629,-10.498
-0.004,0.835,-0.063,9.338,15.259,-10.132
-0.024,0.836,-0.101,7.751,18.494,-7.263
-0.067,0.840,-0.111,8.301,17.761,-5.005
-0.096,0.854,-0.117,8.667,16.541,-2.441
-0.130,0.861,-0.122,7.446,14.038,1.770
-0.185,0.877,-0.111,5.676,9.827,6.897
-0.233,0.895,-0.099,4.395,7.751,10.437
-0.258,0.911,-0.094,2.869,6.958,12.756
-0.288,0.912,-0.098,0.366,6.226,14.587
-0.312,0.916,-0.097,-0.793,5.920,15.137
-0.322,0.922,-0.097,-0.793,7.080,14.587
-0.332,0.930,-0.103,-0.488,9.460,13.733
-0.361,0.943,-0.104,0.366,11.230,13.245
-0.403,0.956,-0.102,1.831,11.963,11.719
-0.419,0.967,-0.082,3.296,13.062,8.545
-0.433,0.985,-0.074,3.540,15.442,4.517
-0.453,0.991,-0.098,3.174,17.700,1.160
-0.450,0.971,-0.127,2.136,19.104,-0.977
-0.430,0.967,-0.126,2.197,17.883,-1.465
-0.417,0.974,-0.108,3.601,14.954,-1.099
-0.413,0.979,-0.090,4.578,11.536,-0.122
-0.410,0.976,-0.075,4.211,7.996,2.441
-0.408,0.974,-0.059,2.380,4.272,6.104
-0.427,0.982,-0.052,-0.366,0.732,9.460
-0.434,0.982,-0.042,-2.441,-0.488,10.010
-0.427,0.974,-0.040,-3.296,1.099,8.301
-0.430,0.966,-0.051,-3.418,3.662,5.920
-0.428,0.960,-0.064,-3.601,5.798,3.418
-0.412,0.950,-0.080,-3.479,7.874,0.671
-0.389,0.927,-0.094,-2.502,9.766,-2.136
-0.381,0.909,-0.101,-0.793,11.047,-3.479
-0.384,0.908,-0.104,-0.122,10.986,-3.845
-0.366,0.914,-0.097,1.038,8.545,-3.235
-0.338,0.912,-0.084,0.793,3.906,-1.709
-0.213,2.090,0.735,93.445,2.441,36.011
-0.273,2.274,0.857,83.557,15.076,27.466
-0.267,2.396,0.938,70.007,31.738,15.625
-0.209,2.445,1.006,51.147,49.438,6.653
-0.235,2.466,0.987,24.963,67.749,0.427
-0.094,2.430,0.954,6.897,93.323,-10.010
-0.023,2.328,0.867,-12.451,110.168,-10.376
-0.062,2.223,0.758,-34.485,117.065,-2.563
-0.106,2.101,0.662,-49.683,118.591,5.371
-0.186,1.971,0.577,-61.462,114.441,14.648
-0.339,1.835,0.507,-74.280,106.628,27.527
-0.519,1.713,0.438,-88.135,98.938,40.283
-0.664,1.599,0.395,-100.342,95.215,47.546
-0.758,1.458,0.364,-109.009,97.168,48.889
-0.873,1.301,0.311,-114.075,103.027,48.401
-1.022,1.121,0.251,-116.394,108.154,47.119
-1.195,0.962,0.193,-117.188,110.107,46.631
-1.353,0.771,0.154,-118.042,108.337,48.279
-1.501,0.608,0.099,-116.821,104.553,53.772
-1.653,0.473,0.027,-114.319,96.985,60.974
-1.806,0.348,-0.049,-110.718,83.984,66.040
-1.960,0.251,-0.106,-105.957,67.566,68.420
-2.089,0.180,-0.150,-100.464,51.941,66.589
-2.165,0.108,-0.163,-94.299,39.001,59.875
-2.221,0.042,-0.168,-87.463,29.907,49.927
-2.291,-0.011,-0.184,-80.505,23.865,38.452
-2.371,-0.085,-0.206,-74.158,18.372,26.550
-2.470,-0.193,-0.259,-69.946,12.512,14.648
-2.461,-0.198,-0.222,-66.833,10.925,0.061
-2.352,-0.300,-0.298,-64.453,16.785,-2.991
-2.369,-0.396,-0.390,-66.956,7.812,0.000
-2.419,-0.419,-0.453,-61.707,-10.742,-1.160
-2.390,-0.428,-0.429,-46.326,-32.715,-9.827
-2.323,-0.438,-0.410,-34.912,-49.561,-15.198
-2.255,-0.436,-0.380,-28.625,-64.453,-14.893
-2.207,-0.394,-0.311,-20.325,-81.421,-15.869
-2.182,-0.335,-0.226,-9.338,-94.177,-22.827
-2.161,-0.279,-0.145,0.610,-98.145,-34.973
-2.114,-0.229,-0.091,8.545,-95.703,-50.232
-2.018,-0.179,-0.057,14.771,-91.309,-68.359
-1.875,-0.152,-0.033,20.264,-88.074,-87.097
-1.709,-0.102,-0.033,25.391,-86.731,-103.577
-1.519,-0.055,-0.035,29.846,-85.876,-115.845
-1.337,-0.011,-0.045,33.264,-86.609,-122.925
-1.200,0.031,-0.052,37.292,-90.881,-123.962
-1.086,0.087,-0.023,40.955,-98.877,-121.887
-0.980,0.159,0.031,43.884,-108.521,-120.056
-0.853,0.223,0.090,46.692,-114.868,-120.056
-0.724,0.270,0.122,48.767,-115.295,-121.155
-0.598,0.289,0.140,50.659,-112.427,-122.742
-0.462,0.307,0.145,52.612,-111.206,-122.681
-0.345,0.335,0.167,55.176,-112.854,-120.178
-0.236,0.366,0.199,57.312,-114.380,-116.272
-0.135,0.399,0.219,58.594,-114.746,-112.244
-0.030,0.424,0.232,59.570,-113.770,-108.398
0.083,0.453,0.236,60.608,-111.084,-104.309
0.183,0.465,0.240,61.462,-107.849,-99.243
0.243,0.479,0.230,62.439,-103.394,-93.323
0.281,0.502,0.217,64.575,-97.839,-87.219
0.312,0.533,0.231,66.772,-90.637,-82.031
0.334,0.572,0.262,66.956,-81.116,-77.332
0.326,0.617,0.278,65.063,-69.885,-74.158
0.329,0.659,0.259,61.951,-58.655,-72.998
0.334,0.668,0.221,57.495,-50.598,-71.960
0.376,0.661,0.148,50.781,-45.593,-68.176
0.417,0.644,0.076,44.861,-44.250,-61.157
0.444,0.639,0.029,41.504,-44.983,-53.284
0.456,0.645,-0.002,41.321,-44.678,-45.349
0.438,0.659,-0.025,43.396,-42.358,-37.964
0.391,0.675,-0.015,46.997,-38.635,-33.142
0.356,0.699,0.017,51.453,-33.875,-31.250
0.313,0.739,0.061,54.321,-28.320,-30.212
0.224,0.766,0.129,53.528,-21.362,-28.259
0.231,0.788,0.154,49.744,-12.756,-24.902
0.265,0.803,0.168,43.579,-10.620,-17.029
0.208,0.833,0.171,32.776,-18.738,-3.479
0.115,0.878,0.147,20.935,-28.503,10.132
0.026,0.898,0.115,12.329,-31.738,17.090
-0.036,0.936,0.077,6.714,-25.146,15.625
-0.037,0.929,0.019,4.700,-9.949,10.010
-0.078,0.900,-0.037,3.479,3.662,5.493
-0.126,0.893,-0.090,3.906,14.832,0.671
-0.171,0.894,-0.127,7.446,21.912,-2.747
-0.204,0.897,-0.152,8.850,23.682,-2.930
-0.242,0.902,-0.168,8.423,20.020,0.427
